Наслов,Опис,Категорија,Автор,Издавач,Година,Страници,Цена
АРХИПЕЛАГОТ ГУЛАГ ТОМ 2,"Архипелагот Гулаг не е митско место не е измислена земја. Тој е систем од затвори логори кампови и работнички колонии во кои милиони луѓе ги загубија своите животи. Измислен е само терминот зашто беше одраз на еден нов феномен – прогонство и уништување на сите кои со збор или постапка се пројавувале против постојниот модел на владеење. Одраз на едно време во кое кажаниот збор можел да биде платен со сопствениот живот. Протестот на Солженицин против тоа владеење е крик на модерното општество крик против политичкиот но и против моралниот погром на сите оние кои мислат поинаку.
Архипелагот Гулаг е еден од најдраматичните документи за темната страна на XX век, и затоа има суштинско значење за разбирање не само на руската туку и на светската историја. Тој е сведоштво за страдањата на милиони непознати луѓе, запишан со едно јасно предупредување – дека човекот е способен за најужасни злосторства, спрoведувани со прецизна бирократска доследност. Но ова не е само книга на страдањата туку е и книга на катарзата која се состои во јасната порака на авторот – дека и во најтешките ситуации, човек мора да најде сили за да се крене од прегратките на смртта и да ја зачува вредноста на постоењето.",Историски романи,Александар Солженицин,ТРИ,,,600 ден.
ЧОВЕК БЕЗ СВОЈСТВА,"Романот Човек без својства на австрискиот писател Роберт Музил е едно од големите ремек-дела на европската литература од XX век. Во него авторот скицира детален портрет на европскиот дух пред почетокот на Првата светска војна. Дејството на романот се случува во Австрија но Виена на Музил е симулакрум на целокупната општествена политичка културна и духовна состојба во која живее модерниот Европеец. Во Човек без својства Музил вешто создава некои од најмаркантните и незаборавни книжевни ликови. Улрих главниот лик во овој роман е еден од најчесто истражуваните и толкувани ликови во историјата на книжевната критика и често се споредува со Јозеф К. од Процес на Кафка со Леополд Блум од Улис на Џојс или со Марсел од Во потрага по изгубеното време на Пруст.Човек без својства е мајсторски изградена мешавина од роман, есеј, политичка сатира, историска хроника и филозофска расправа и токму поради тоа преставува вистински интелектуален предизвик за секој читател, но исто така и неизбежна лектира за секој сериозен познавач на книжевноста.",Романи,Роберт Музил,ТРИ,,,650 ден.
ТЕ НЕМА НИКАДЕ,,Романи,Јелена Бачиќ-Алимпиќ,Матица,,,450 ден.
СО СЕКОЈ ЗДИВ,"Хоуп Андерсон се наоѓа на крстопат. На триесет и шест години, таа веќе е во врска со своето момче, хирург-ортопед, цели шест години. Бидејќи сѐ уште нема свадба на повидок, а дознаваат дека нејзиниот татко боледува од АЛС, таа решава да помине една недела во семејната викендичка во Сансет Бич, Северна Каролина, за да ја подготви за продажба, но и да размисли за сите тешки одлуки поврзани со иднината.
Тру Волс никогаш претходно не бил во Северна Каролина, но доаѓа во Сансет Бич поради писмо од човек кој тврди дека му е татко. Тру е сафари водич, роден и пораснат во Зимбабве, кој се надева дека ќе успее да открие дел од мистериите околу животот на мајка му и да врати спомени изгубени со нејзината смрт. Кога на двајцата туѓинци им се вкрстуваат патиштата, нивната хемија е електрична и незамислива… но во деновите кои следат, нивните чувства ќе бидат принудени да им отстапат место на семејните должности наместо на личната среќа.
Колку може да биде срцепарателно каењето, колку долго може да преживува надежта? Со секој здив е приказна која ги истражува многуте лица на љубовта и лојалноста, поставувајќи го прашањето: Колку долго може да живее еден сон?",Романи,,Сакам книги,,,450 ден.
ПАЧИНКО,"Можеше да има неколку победници и многу губитници. А сепак продолжувавме да играме затоа што имавме надеж дека ние би можеле да бидеме среќниците.
Ремек-дело за припадноста, интегритетот, лојалноста и амбицијата. „Пачинко“ е роман за дискриминацијата и за егзилот, за надежта да се преживее и да се напредува пред рамнодушната историја.
Приказната почнува во времето на окупацијата на Кореја од Јапонија, во сиромашното семејство на еден рибар. Неговата ќерка, тинејџерката Сунча, се вљубува во еден богат странец на брегот, близу нејзиниот дом. Тој ѝ го ветува светот, но кога таа открива дека е бремена и дека нејзиниот љубен е женет, одбива да биде откупена. Наместо тоа, ја прифаќа брачната понуда од еден љубезен човек кој патува кон Јапонија. Нејзината одлука го означува почетокот на една драматична сага за луѓе кои не можат да се вратат во родниот крај во кој беснее војна, кои се принудени да живеат во место каде што не се прифатени.
Оваа повеќеслојна и трагична приказна нè носи од напуштените улици до ходниците на најпознатите универзитети во Јапонија. Таа е доказ дека една семејна приказна може да ја раскаже историјата на цел народ. „Живописна и извонредна, книгата Пачинко е богатo признание за луѓето чија историја се чини дека се брише.“  Гардијан
„Проблемите со кои се соочуваат имигрантите вознемируваат, но приказната е онаа која плени.“ Пипл
„Моќна приказна за издржливоста и сочувството.“ Барак Обама",Романи,Мин Чин Ли,ТРИ,,,600 ден.
ПРИКАЗНАТА НА РОБИНКАТА,"Приказната на робинката е дистописки роман, сместен во блиска иднина во една тоталитарна христијанска теократија која извршила преврат врз американската влада. Романот е психолошко „реалистично“ и убедливо истражување на еден спротивен свет, кој во себе има значајна надреална врска со реалноста. Жестоко политички и мрачен, а истовремено мудар и хумористичен, Приказната на робинката отвора голем број општествени прашања. Јазичната умешност на Атвуд блеснува низ наративот темен од терор, низ острите перцепции, свети во силните слики и саркастичната мудрост.",Романи,Маргарет Атвуд,Бегемот,,,600 ден.
НЕ СУМ ВИНОВНА,,Романи,,Матица,,,450 ден.
ЅВЕЗДЕНА ПОРТА,"Невообичаена и длабока божиќна приказна која ги навестува празничните чуда!
Приказната е раскажана од перспективата нa десетгодишната Роња, која живее со својата постара сестра Мелиса и со таткото алкохоличар. Иако сакани од таткото, сестрите се соочени со постојана закана од социјалните служби бидејќи тој нема редовна работа. Роња дознава за отворена позиција за продажба на новогодишни елки и наскоро фрижидерот е полн со храна, а таткото се враќа од работа насмеан и прекриен со борови иглички. Пресвртот се случува кога добива празничен аванс, бидејќи тој му се враќа на алкохолот. Мелиса храбро се решава да ја преземе работата, извршувајќи ја по училиште, а Роња одлучува да ѝ прави друштво. Набрзо таа станува заштитното лице на плацот каде што се продаваат елките. Двете сестри се обидуваат да го живеат животот најдобро што умеат, станувајќи си поддршка една на друга, и сонувајќи за поведри денови и судбина што ќе им даде нова шанса.Мала во обем, но со моќно дејство врз читателот, оваа книга е волшебен современ класик.",Романи,Ингвилд Х.Рисхој,Антолог-Боокс ДООЕЛ,,,300 ден.
ВИСОКИТЕ ПЛАНИНИ НА ПОРТУГАЛИЈА,"Во 1904 година во Лисабон еден млад човек по име Томаш открива дневник стар повеќе од два века. Дневникот го навестува постоењето на еден исклучителен артефакт кој може да ја редефинира историјата. Затоа Томаш тргнува да го бара ова чудно богатство со еден од првите автомобили произведени во Европа... По триесет и пет години еден патолог од Португалија опседнат со романите на Агата Кристи се наоѓа во центарот на една мистерија и на чудесен начин се соочува со последиците од потрагата на Томаш... По педесет години еден пензиониран сенатор од Канада тагувајќи поради загубата на својата сопруга оди во селото на своите предци во северна Португалија заедно со својот необичен придружник – едно шимпанзо. И тогаш потрагата која трае еден век и која е преполна со неочекувани пресврти – ќе дојде до својот крај.
Создаден од три приказни кои се преплетуваат, Високите Планини на Португалија е роман за авантури и потрага по богатство, приказна за духовите од минатото и современа бајка кој нуди одговори за тоа како луѓето се соочуваат со големата љубов и со длабоката тага. Полн со нежност, хумор, топлина и бескрајни изненадувања, романот го носи читателот на пат низ Португалија во минатиот век, но исто така и низ најнедостапните места на човековата душа.
„Јан Мартел е современиот мајстор на параболата. Повторно соочувајќи го читателот со необични луѓе и уште понеобични животни, Мартел раскажува приказни кои имаат скриени значења и филозофска длабочина.“ The New Yorker
„Новиот роман на Мартел е посветен на тагата - чувство кое го познава секој човек, а можеби и секое живо суштество на светот. За главните ликови во ова прекрасно дело, тагата станува авантура, основа на нивното животно патување.“ The New York Times",Романи,Јан Мартел,ТРИ,,,400 ден.
КУЌА БЕЗ СПОМЕНИ,,Трилери,Донато Каризи,Матица,,,590 ден.
МОРЕ НА СПОКОЈСТВОТО,"Меланхолична приказна за уништувањето на познатиот свет, патувањето низ времето и осаменоста.
Во 1912 г. 18-годишниот Едвин Сент Џон Ендру поради една непримерна изјава е протеран од своето богато семејство. Шетајќи низ шумата на малото место во кое престојува, одеднаш слуша чудни звуци на виолина. Во 1994 г. 12-годишната Винсент Смит снима мистериозно видео во шумата во близина на својот дом. Во 2020 г., по смртта на Винсент, нејзиниот брат композитор го прикажува ова видео на својот концерт. Во 2203 г. Олива Луелин ги остава сопругот и ќерката во домот на втората Месечева колонија, место со бели камења, шилести кули и артифициелна убавина, и оди на Земјата на турнеја со својот роман за пандемијата. Во него има еден чуден пасус: човек свири на виолина во густа шума кога се случува нешто необјасниво. За да открие како овие луѓе се поврзани и зошто ги слушаат истите звуци на виолина, детективот Гаспери Робертс мора да тргне на патување низ времето. Таму согледува можност да направи нешто извонредно, што ќе ја наруши временската рамка на универзумот. Но што ако нивната реалност е само симулација?
„Обединувајќи научна фантастика и одлична нарација, авторката на овој замислен свет истражува како технологијата може да ни ја контролира судбината ако заборавиме да сочувствуваме.“
Пипл",Романи,Емили Сент Џон Мандел,Паблишер,,,360 ден.
СО ОГАН И СО МЕЧ,"„Со оган и со меч“ е првиот роман од, можеби, најзначајното дело на нобеловецот Хенрик Шенкевич – „Трилогија“, која критиката ја вреднува како opus magnum на овој автор. Романот ги следи случувањата од историјата на Полска за време на козачкото востание на Хмељници (1648–1654) во Украина. Писателот, трудејќи се да поттикне патриотски чувства кај читателот, на романот му придодал карактеристики на витешки епос, вовел волшебни елементи и создал силни ликови што го репрезентираат доброто и злото.
Побунетите Козаци под водство на Хмељницки се претставени како варвари жедни за крв, а Полјаците како праведни и храбри бранители на татковината. Романот ги опишува историските личности и случувањата од полска перспектива, со голема симпатија кон полското благородништво што е индивидуализирано преку бројни епизодни личности, меѓу кои најмногу се истакнуваат ликовите на господата Заглоба и Лонгинус Подбипета, кои се прикажани како витези и бранители на христијанството, додека востаниците се обвинети за колежите, антисемитизмот и сојузот со Татарите, непријателите на татковината и на верата.
Во приказната мајсторски се преплетени голем број историски и фиктивни личности, вистински и измислени настани, како и бурната љубовна приказна на беспрекорниот витез – Јан Скшетуски и на прекрасната благородничка – Хелена Курчевичовна, кои, разделени од непријателите и злата судбина, преживуваат бројни перипетии.",Романи,Хенрик Шенкевич,Бегемот,,,700 ден.
ПЕПЕЛНИК ВО ЕДЕН ХОТЕЛ ВО СКОПЈЕ,"Во „Пепелник во еден хотел во Скопје“ Жижек посегнува по утврдените мислења на современата наука, ги сопоставува со најактуелните настани и примери денес, а како резултат на тоа се кристализира едно специфично, остроумно и контроверзно множество ставови.
Книгава е збирка во која тој подведува пет свои есеи под парадоксот што го доживеал при еден престој во Скопје, а како таква таа истовремено претставува и неизбежна обиколка околу прашањата за љубовта, сексот, психоанализата, идеологијата, филмот, книжевноста, како и политичкото минато, сегашност и иднина.
Како сублимат на неговата мисла, „Пепелник во еден хотел во Скопје“ е неопходно четиво за критичкиот ум, крајпатен знак што води кон „пробивање“ на појавата и стигнување до срцевината на стварното.",Романи,Славој Жижек,Антолог-Боокс ДООЕЛ,,,300 ден.
АХИЛОВАТА ПЕСНА,"Грција во старо време на богови и јунаци.
Поради едно случајно убиство, осамениот принц Патрокле е прогонет на дворот на кралот Пелеј и неговиот син Ахил. Така им се вкрстуваат патиштата и меѓу нив се раѓа нераскинливо пријателство. Додека растат и се воспитуваат во различни вештини, нивното другарство се продлабочува – и покрај противењето на Ахиловата мајка, суровата морска божица Тетида. Но веста за грабнувањето на убавата Елена го прекинува идиличниот живот и го обновува пророштвото дека само Ахил може да ја реши војната за нејзино враќање. Раскинат помеѓу љубовта и стравот, Патрокле тргнува со Ахил кон Троја, не знаејќи дека тие години ќе стават на проба сѐ што им е важно.
Потресна и волшебна верзија на Тројанската војна, болна приказна за љубовта, но и за непомирливата борба меѓу боговите и кралевите, спокојот и честа, бесмртната слава и човечкото срце. „
Фантастично живописна и уверлива верзија на една од најлегендарните љубовни приказни.“ Ема Донахју
„Мадлин Милер со голема имагинација и стручност ги оживува впечатливите случувања во стара Грција. Освојува сосем нова територија прераскажувајќи ја една од најстарите приказни на светот – за мажите во љубовта и војната, но и за извонредните жени.“ -Паблишерс викли
„Роман што се чита поради неговите квалитети, но ако притоа ги инспирира читателите да им се вратат на Хомер и неговите наследници, треба да му се припише и таа заслуга.“ Вашингтон индипендент ривју оф букс",Романи,Мадлин Милер,ТРИ,,,500 ден.
ИСПОВЕДИ НА ЕДЕН ПСИХОТИЧЕН УМ,"Три приказни три главни ликови еден крај.
Исповеди на еден Психотичен Ум е роман-збирка кој во себе содржи различни раскази поврзани преку еден неконвенционален заеднички крај. Приказната вклучува ликови во кои се претставени трите различни лица на еден човек, предмет на анализа на една млада девојка која го листа дневникот на својот дедо обидувајќи се да открие кој навистина бил тој.
Исповеди на еден Психотичен Ум е слика на младите, урбани луѓе кои се во потрага по своето место во новото динамично општество во кое правилата и вредностите се во голема мера разнишани.
„Со емоционално мотивираните вулгаризми, Ристевски можеби по малку наликува на извонредниот Чарлс Буковски или, поточно, по начинот на пишување, Ристевски е некаде на средина помеѓу условно вулгарната непосредност на Буковски и живиот, разговорен јазик на раскажувачот Рејмон Карвер.“ Проф. д-р Драги Михајловски",Романи,Владимир Ристевски,ТРИ,,,199 ден.
КОНТУРИ,"Необичен колаж од портрети епизоди и размисли што ги собира и раскажува една англиска писателка на своето патување во Атина каде што оди да одржи предавање на летна школа за креативно пишување. Завиени во задушливата омарнина, на екскурзиите со брод, во училницата и во развревените градски кафулиња, ги запознаваме нејзините соговорници ‒ зборлестиот сосед од авионот, учениците од секаков профил, колегите писатели и старите пријатели. И колку поизразен е нивниот глас за мистеријата на креативноста и мрачните страни на интимноста, толку повоздржана е нивната слушателка ‒ магливо огледана во нивните исповеди, сопствената животна приказна и најдлабоките чувства таа ги остава само загатнати. Отстапувајќи од традиционалниот роман според формата и техниката, Контури е зрел оглед за идентитетот и неговото обезличување, потребата од другиот и потребата од (не)искажувањето. Ремек-дело за творечкиот порив што заслужено наиде на блескави критики и номинации за повеќе книжевни признанија.„Волшебно... Контури е еден сосем поинаков роман, свет што се претопува со нашиот, но не на начинот на кој би очекувале.“Њуjоркер",Романи,Рејчел Каск,ТРИ,,,300 ден.
МАГЛА И МЕСЕЧЕВИНА,"„Магла и месечевина“ е своевиден увод во подоцнежните дела на Селимовиќ, а дел од критиката го смета и како суптилна увертира за култниот „Дервишот и смртта“.
Ова е приказна за млад селски пар кој во својот дом згрижува ранет партизан во текот на Втората светска војна. Ликовите се неверојатно психолошки прикажани, а трагичната нота демне над текот на дејството. „Магла и месечевина“ е едно од најдобрите дела со тематика од Втората светска војна – лирски, таинствен, суптилен и меланхоличен роман, но истовремено проникнат со еротски набој кој му дава дури и одредена контроверзна димензија. Ова е текст на молкот, кој чудесно се наметнува врз сè што ликовите зборуваат. Војната е вплетена и како општествена позаднина, но и како борба во самиот човек, бидејќи се прикажуваат човечките искушенија во немирни времиња, додека во совеста на ликовите се случува голем внатрешен судир.
Меша Селимовиќ изјавил дека ова е негово артистички најуспешно дело.",Романи,Меша Селимовиќ,Антолог-Боокс ДООЕЛ,,,250 ден.
ДОМОТ НА АЛЕКСАНДАР,"Клучната сцена во романот се одвива додека најголемиот светски филозоф Аристотел и најголемиот освојувач на светот Александар водат дијалог пливајќи по Прасијадското (Дојранското) Езеро. Аристотел го застапува гледиштето дека ропството е нужност за устрем на човекот кон освојување на нови предели на духот. Александар му се спротивставува на Аристотел со својот став дека кога утре ќе ги победи Хелените сите нивни робови ќе ги ослободи. Аристотел му вели на Александар да запамети дека ако ги признае другите ќе се ослабне себеси зашто не е можно од истото количество сила што постои на светот на другите да им дадеш а твојата сопствена да не се смали. Александар е уверен дека со сила можат да се освојат сите земји но со сила не може да се создаде светско царство зашто во светското царство владее светскиот дух и тоа не може да се воспостави без другите народи. Тој сака хеленскиот и македонскиот народ да живеат како браќа. Затоа вели дека кога ќе го освои сиот свет и кога ќе го воспостави светското царство ќе ги избрише сите разлики меѓу луѓето. Тогаш на светот ќе завладее големата хармонија меѓу народите. Македонија според Александар е предодредена да биде мост меѓу стариот и новиот свет но притоа заборавил да додаде (погледнато од перспективата на новата ера) дека кога ќе се согласиш да бидеш мост со самото тоа се согласуваш да те газат.
Георги Старделов
Секој сон, секоја идеја што Митко Маџунков ја развива во овој роман, особено односот меѓу учителот Аристотел и ученикот Александар, кој го надраснува учителот и на неговото учење му дава инаков дух, е од исклучителна важност за сфаќањето на овој писател.
Предраг Палавестра",Романи,Митко Маџунков,ТРИ,,,240 ден.
ТРАВНИЧКА ХРОНИКА,"Оригинален книжевен поглед со богат историографски увид за разликите во светогледите на луѓето од Истокот и од Западот на почетокот од XIX век во Босна.
Романот претставува седумгодишен летопис кој го опфаќа периодот од 1807 до 1814 година, кое е и времето на подемот и падот на Наполеон. Травник тогаш бил везирски град и во него се мешале односите меѓу француските и австриските конзули со месното население и османлиските великодостојници. Во оваа смисла, жителите на Травник се претставниците на Истокот, а францускиот конзул Давил, на Западот. Со неговото пристигнување тој станува проследувач и учесник во еден нов и дотогаш непознат, таканаречен ориентален начин на живот. На суптилен книжевен начин е нагласена непремостливата разлика помеѓу источните и западните култури.
Пишувајќи го романот за време на Втората светска војна, Андриќ користел богата документарна граѓа од сферата на историјата, етнологијата и автентични записи за личностите претставени во делото. „Травничка хроника“ е најкласичниот роман во неговото творештво.",Романи,Иво Андриќ,Антолог-Боокс ДООЕЛ,,,650 ден.
"СКБ КОЛКУ БЕШЕ ДОЦНА, КОЛКУ ДОЦНА","Колку беше доцна колку доцна е фуриозен и бескомпромисен роман во духот на модернистичката традиција и директно инспириран од творештвото на Семјуел Бекет и Џејмс Џојс.
Напишан „во еден здив“, без поделба на поглавја и паузи во нарацијата, Колку беше доцна, колку доцна претставува, всушност, тек на свеста на главниот лик Семи, кој минува низ неколку пеколни денови од својот живот. Семи има навистина ужасна седмица – се опива и додека е онесвестен го ограбуваат, му земаат сè, па дури и чевлите, а потоа го апсат полицајците и го тепаат толку дивјачки што ослепува. И тоа е само почеток на неговите проблеми, зашто слеп и претепан го фрлаат на улица, а неговата девојка одеднаш исчезнува и нема никој да му понуди барем малку помош и утеха...
Истовремено депресивен и преполн со црн хумор, романот се заокружува како потресна и трогателна човечка драма, која како вител го вовлекува читателот во своите скриени длабочини.
„Роман кој на најнеочекуван начин од мрачен реквием се трансформира во химна на животот. Ако на првите неколку страници го мразите и не го разбирате Семи, на последните страници ќе плачете поради него, затоа што веќе сфаќате дека полека почнува да ви недостига.“ Сандеј телеграф",Романи,Џејмс Келман,ТРИ,,,450 ден.
САМО ТАА ОСТАНА,"Сите мислат дека Ленора Хоуп е убиец.
Кога нејзиното семејство било масакрирано, таа била единствената што останала жива во текот на трагичната ноќ.
Повеќе од пет децении подоцна, нема и парализирана, седи врзана за инвалидска количка. Ленора никогаш немала можност да ја каже својата страна на приказната, сѐ додека нејзината нова негувателка, Кит, не ѝ донесе дактилографска машина. Со еден функционален прст, Ленора почнува да пишува: „Сакам да ти кажам сѐ.“
Додека Кит ѝ помага на Ленора со пишувањето, станува јасно дека приказната крие повеќе од тоа што сите мислат. Но, кога на виделина излегуваат нови детали, Кит почнува да се сомнева дали Ленора ја кажува целата вистина. Дали жената за која се грижи можеби е многу поопасна одошто си мисли?",Трилери,Рајли Сејгер,Антолог-Боокс ДООЕЛ,,,500 ден.
ПТИЦИ ВО УСТАТА,"Хипнотизирачките приказни во „Птици во устата“ го пробиваат реалното со застрашувачка жестина. Сурови, несекојдневни, необични: чудното напати се наметнува во нив со банално и премолчено сомневање. Кај други, пак, со насилна и неповратна густина, како во кафкански кошмар.
Наградена со „Каса де лас Америкас“ во 2008 година, оваа книга со 18 раскази ја поминува тенката линија што го дели фантастичното од реалното, натприродното од секојдневното, со еден флуиден и прецизен стил и со конкретна визија на светото, што потврдува дека Аргентинката Саманта Швеблин е еден од најважните и најоригиналните раскажувачи од својата генерација прозаисти на шпански јазик.",Романи,Саманта Швеблин,Македоника Литера,,,200 ден.
БАБА МИ ВЕ ПОЗДРАВУВА И ВИ СЕ ИЗВИНУВА,"Шармантен роман за девојче чија баба умира и остава зад себе серија писма, испраќајќи ја малата внука на патување што го оживува светот на бајките измислен од нив двете.
Елса има седум години и е поинаква од своите врснички. Нејзината баба има седумдесет и седум години и е тотално откачена. На пример, има навика од својот балкон да гаѓа непознати луѓе со пејнтбол-топчиња. Две различни, а блиски перспективи. Бабата е најдобрата другарка на Елса. Всушност, единствената другарка.
Ноќе Елса се засолнува во приказните на баба си, во чудесната Земја на речиси будните и во кралството Мијама, каде што сите се поинакви и никој не мора да биде нормален. Кога бабата умира, остава куп писма со кои им се извинува на луѓето на кои им згрешила во животот. Со писмата започнува најголемата авантура на Елса.
Со комична точност и со исцртување сосема нова реалност, Бакман нуди приказна за животот и смртта и за едно од најважните човекови права: правото да се биде различен!",Романи,Фредрик Бакман,Антолог-Боокс ДООЕЛ,,,500 ден.
ВО ВРЕМЕ НА ЕПИДЕМИЈА,"„Не се плашам да се разболам. Тогаш од што се плашам? Од сѐ што епидемијата може да промени. Да открие дека оклопот на човештвото што го знам е кула од карти. Се плашам од поништување, но и од неговата спротивност: дека стравот ќе помине без да нѐ промени однатре“ – пишува Паоло Џордано во своите есеизирани и луцидни приказни од својата карантинска епизода.
Книжевниот бум во светот, книгата на Паоло Џордано, „ Во време на епидемија"" авторот ја пишува во еден здив, за време на карантин. Таа е исклучително елегантна и суштинска со есеизирано раскажување и со размислувања за сосема новата ситуација и за трансформациите на современото општество и културата. Претставува фантастицен уметнички и психолошки збир на есеизирани и луцидни епизоди од карантинската приказна на авторот. Широкиот опсег, капацитетот и здивот на оваа книга веднаш беа разбрани во целиот свет и духот на оваа книга се чувствува во многу земји, затоа што сите се соочуваат со глобална криза.",Романи,Паоло Џордано,Македоника Литера,,,150 ден.
